Source,Target,Type,id,label,timeset,weight
34,46,Undirected,0,,,1.0
35,110,Undirected,0,,,1.0
35,59,Undirected,0,,,1.0
35,29,Undirected,0,,,1.0
35,107,Undirected,0,,,1.0
35,63,Undirected,0,,,1.0
35,23,Undirected,0,,,1.0
35,67,Undirected,0,,,1.0
35,22,Undirected,0,,,1.0
35,7,Undirected,0,,,1.0
35,73,Undirected,0,,,1.0
36,95,Undirected,0,,,1.0
36,104,Undirected,0,,,1.0
36,85,Undirected,0,,,1.0
36,28,Undirected,0,,,1.0
36,111,Undirected,0,,,1.0
36,89,Undirected,0,,,1.0
36,19,Undirected,0,,,1.0
36,60,Undirected,0,,,1.0
36,66,Undirected,0,,,1.0
36,38,Undirected,0,,,1.0
37,36,Undirected,0,,,1.0
37,39,Undirected,0,,,1.0
37,110,Undirected,0,,,1.0
37,95,Undirected,0,,,1.0
37,35,Undirected,0,,,1.0
37,73,Undirected,0,,,1.0
37,29,Undirected,0,,,1.0
37,54,Undirected,0,,,1.0
37,59,Undirected,0,,,1.0
37,22,Undirected,0,,,1.0
38,83,Undirected,0,,,1.0
38,104,Undirected,0,,,1.0
38,64,Undirected,0,,,1.0
38,53,Undirected,0,,,1.0
38,78,Undirected,0,,,1.0
38,90,Undirected,0,,,1.0
38,41,Undirected,0,,,1.0
38,19,Undirected,0,,,1.0
38,61,Undirected,0,,,1.0
38,26,Undirected,0,,,1.0
39,64,Undirected,0,,,1.0
39,95,Undirected,0,,,1.0
39,34,Undirected,0,,,1.0
39,26,Undirected,0,,,1.0
39,89,Undirected,0,,,1.0
39,92,Undirected,0,,,1.0
39,54,Undirected,0,,,1.0
39,104,Undirected,0,,,1.0
39,61,Undirected,0,,,1.0
39,57,Undirected,0,,,1.0
40,77,Undirected,0,,,1.0
40,107,Undirected,0,,,1.0
40,58,Undirected,0,,,1.0
40,5,Undirected,0,,,1.0
40,87,Undirected,0,,,1.0
40,65,Undirected,0,,,1.0
40,78,Undirected,0,,,1.0
40,39,Undirected,0,,,1.0
40,16,Undirected,0,,,1.0
40,62,Undirected,0,,,1.0
41,54,Undirected,0,,,1.0
41,104,Undirected,0,,,1.0
41,66,Undirected,0,,,1.0
41,48,Undirected,0,,,1.0
41,85,Undirected,0,,,1.0
41,61,Undirected,0,,,1.0
41,19,Undirected,0,,,1.0
41,78,Undirected,0,,,1.0
41,60,Undirected,0,,,1.0
41,83,Undirected,0,,,1.0
42,49,Undirected,0,,,1.0
42,55,Undirected,0,,,1.0
42,72,Undirected,0,,,1.0
42,51,Undirected,0,,,1.0
42,96,Undirected,0,,,1.0
42,79,Undirected,0,,,1.0
42,74,Undirected,0,,,1.0
42,68,Undirected,0,,,1.0
42,81,Undirected,0,,,1.0
42,98,Undirected,0,,,1.0
43,45,Undirected,0,,,1.0
43,68,Undirected,0,,,1.0
43,67,Undirected,0,,,1.0
43,51,Undirected,0,,,1.0
43,56,Undirected,0,,,1.0
43,80,Undirected,0,,,1.0
43,55,Undirected,0,,,1.0
43,50,Undirected,0,,,1.0
43,79,Undirected,0,,,1.0
43,49,Undirected,0,,,1.0
44,80,Undirected,0,,,1.0
44,49,Undirected,0,,,1.0
44,31,Undirected,0,,,1.0
44,52,Undirected,0,,,1.0
44,96,Undirected,0,,,1.0
44,69,Undirected,0,,,1.0
44,20,Undirected,0,,,1.0
